User Input,SQL Query
Show all customers.,SELECT * FROM Customers;
Find all products that cost more than 500.,"SELECT ProductName, Price FROM Products WHERE Price > 500;"
List all completed orders.,SELECT * FROM Orders WHERE OrderStatus = 'Completed';
Get customer names and their emails.,"SELECT CustomerName, Email FROM Customers;"
Show order details for OrderID 1.,"SELECT o.OrderID, od.ProductID, od.Quantity, od.FinalPrice
FROM Orders o
JOIN OrderDetails od ON o.OrderID = od.OrderID
WHERE o.OrderID = 1;"
List all orders placed by John Doe.,"SELECT o.OrderID, o.OrderDate, o.TotalAmount
FROM Orders o
JOIN Customers c ON o.CustomerID = c.CustomerID
WHERE c.CustomerName = 'John Doe';"
Find products supplied by 'ABC Supplies.',"SELECT p.ProductName, p.Price
FROM Products p
JOIN Suppliers s ON p.SupplierID = s.SupplierID
WHERE s.SupplierName = 'ABC Supplies';"
Count the total orders placed by each customer.,"SELECT c.CustomerName, COUNT(o.OrderID) AS TotalOrders
FROM Customers c
LEFT JOIN Orders o ON c.CustomerID = o.CustomerID
GROUP BY c.CustomerName;"
"Find customers who placed orders worth more than 10,000 in total.","SELECT c.CustomerName, SUM(o.TotalAmount) AS TotalSpent
FROM Customers c
JOIN Orders o ON c.CustomerID = o.CustomerID
GROUP BY c.CustomerName
HAVING SUM(o.TotalAmount) > 10000;"
List all products in orders shipped by 'Blue Dart' with their quantities.,"SELECT p.ProductName, od.Quantity, o.CourierService
FROM OrderDetails od
JOIN Orders o ON od.OrderID = o.OrderID
JOIN Products p ON od.ProductID = p.ProductID
WHERE o.CourierService = 'Blue Dart';"
Show the most expensive product in each category.,"SELECT Category, ProductName, MAX(Price) AS HighestPrice
FROM Products
GROUP BY Category;"
Get the total tax collected for all orders.,"SELECT SUM(od.TaxAmount) AS TotalTaxCollected
FROM OrderDetails od;"
Find the top 3 customers who spent the most.,"SELECT c.CustomerName, SUM(o.TotalAmount) AS TotalSpent
FROM Customers c
JOIN Orders o ON c.CustomerID = o.CustomerID
GROUP BY c.CustomerName
ORDER BY TotalSpent DESC
LIMIT 3;"
Show the details of products that were returned.,"SELECT p.ProductName, od.Quantity, od.ReturnStatus
FROM OrderDetails od
JOIN Products p ON od.ProductID = p.ProductID
WHERE od.ReturnStatus = 'Returned';"
List all customers who have not placed any orders.,"SELECT c.CustomerName
FROM Customers c
LEFT JOIN Orders o ON c.CustomerID = o.CustomerID
WHERE o.OrderID IS NULL;"
Show the total revenue generated for each month.,"SELECT DATE_FORMAT(OrderDate, '%Y-%m') AS Month, SUM(TotalAmount) AS Revenue
FROM Orders
GROUP BY DATE_FORMAT(OrderDate, '%Y-%m');"
